Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
No Glucose,Filtered Cyano 2,Day 1 Replicate #1,0.041,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 3,Day 1 Replicate #1,0.042,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 4,Day 1 Replicate #1,0.046,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 5,Day 1 Replicate #1,0.096,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 6,Day 1 Replicate #1,0.049,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,No Cyano 5,Day 1 Replicate #1,0.053,1,1,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 6,Day 1 Replicate #1,0.049,1,1,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 7,Day 1 Replicate #1,0.049,1,1,No Cyano,No Glucose + No Cyano,1
Regular HS,No Cyano 1,Day 1 Replicate #1,0.049,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 2,Day 1 Replicate #1,0.057,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 3,Day 1 Replicate #1,0.081,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 4,Day 1 Replicate #1,0.071,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 5,Day 1 Replicate #1,0.045,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 6,Day 1 Replicate #1,0.049,1,1,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 7,Day 1 Replicate #1,0.051,1,1,No Cyano,Regular HS + No Cyano,1
No Glucose,No Cyano 1,Day 1 Replicate #2,0.05,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,Filtered Cyano 1,Day 1 Replicate #2,0.043,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,No Cyano 2,Day 1 Replicate #2,0.047,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 3,Day 1 Replicate #2,0.047,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 4,Day 1 Replicate #2,0.047,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,Filtered Cyano 2,Day 1 Replicate #2,0.042,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 3,Day 1 Replicate #2,0.042,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 4,Day 1 Replicate #2,0.046,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 5,Day 1 Replicate #2,0.109,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,Filtered Cyano 6,Day 1 Replicate #2,0.049,1,2,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,No Cyano 5,Day 1 Replicate #2,0.054,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 6,Day 1 Replicate #2,0.054,1,2,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 7,Day 1 Replicate #2,0.051,1,2,No Cyano,No Glucose + No Cyano,1
Regular HS,No Cyano 1,Day 1 Replicate #2,0.046,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 2,Day 1 Replicate #2,0.058,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 3,Day 1 Replicate #2,0.152,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 4,Day 1 Replicate #2,0.071,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 5,Day 1 Replicate #2,0.049,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 6,Day 1 Replicate #2,0.048,1,2,No Cyano,Regular HS + No Cyano,1
Regular HS,No Cyano 7,Day 1 Replicate #2,0.05,1,2,No Cyano,Regular HS + No Cyano,1
No Glucose,No Cyano 1,Day 2 Replicate #1,0.05,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,Filtered Cyano 1,Day 2 Replicate #1,0.044,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,No Cyano 2,Day 2 Replicate #1,0.041,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 3,Day 2 Replicate #1,0.042,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 4,Day 2 Replicate #1,0.043,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,Filtered Cyano 2,Day 2 Replicate #1,0.115,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 3,Day 2 Replicate #1,0.044,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 4,Day 2 Replicate #1,0.066,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 5,Day 2 Replicate #1,0.088,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 6,Day 2 Replicate #1,0.065,2,1,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,No Cyano 5,Day 2 Replicate #1,0.055,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 6,Day 2 Replicate #1,0.059,2,1,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 7,Day 2 Replicate #1,0.076,2,1,No Cyano,No Glucose + No Cyano,2
Regular HS,No Cyano 1,Day 2 Replicate #1,0.051,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 2,Day 2 Replicate #1,0.081,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 3,Day 2 Replicate #1,0.056,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 4,Day 2 Replicate #1,0.269,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 5,Day 2 Replicate #1,0.059,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 6,Day 2 Replicate #1,0.064,2,1,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 7,Day 2 Replicate #1,0.073,2,1,No Cyano,Regular HS + No Cyano,2
No Glucose,No Cyano 1,Day 2 Replicate #2,0.049,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,Filtered Cyano 1,Day 2 Replicate #2,0.043,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,No Cyano 2,Day 2 Replicate #2,0.048,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 3,Day 2 Replicate #2,0.043,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 4,Day 2 Replicate #2,0.043,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,Filtered Cyano 2,Day 2 Replicate #2,0.119,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 3,Day 2 Replicate #2,0.064,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 4,Day 2 Replicate #2,0.068,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 5,Day 2 Replicate #2,0.071,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,Filtered Cyano 6,Day 2 Replicate #2,0.071,2,2,Filtered Cyano,No Glucose + Filtered Cyano,2
No Glucose,No Cyano 5,Day 2 Replicate #2,0.057,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 6,Day 2 Replicate #2,0.058,2,2,No Cyano,No Glucose + No Cyano,2
No Glucose,No Cyano 7,Day 2 Replicate #2,0.076,2,2,No Cyano,No Glucose + No Cyano,2
Regular HS,No Cyano 1,Day 2 Replicate #2,0.051,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 2,Day 2 Replicate #2,0.093,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 3,Day 2 Replicate #2,0.058,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 4,Day 2 Replicate #2,0.147,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 5,Day 2 Replicate #2,0.062,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 6,Day 2 Replicate #2,0.069,2,2,No Cyano,Regular HS + No Cyano,2
Regular HS,No Cyano 7,Day 2 Replicate #2,0.086,2,2,No Cyano,Regular HS + No Cyano,2
No Glucose,No Cyano 1,Day 3 Replicate #1,0.054,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,Filtered Cyano 1,Day 3 Replicate #1,0.177,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,No Cyano 2,Day 3 Replicate #1,0.048,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 3,Day 3 Replicate #1,0.048,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 4,Day 3 Replicate #1,0.048,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,Filtered Cyano 2,Day 3 Replicate #1,0.151,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
