Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
No Glucose,Filtered Cyano 1,5.10.25 Replicate #1,0.151,2025-05-10,1,Filtered Cyano,No Glucose + Filtered Cyano,3.0,4.0
No Glucose,Filtered Cyano 2,5.10.25 Replicate #1,0.171,2025-05-10,1,Filtered Cyano,No Glucose + Filtered Cyano,3.0,4.0
Regular HS,No Cyano 1,5.10.25 Replicate #2,0.083,2025-05-10,2,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,No Cyano 2,5.10.25 Replicate #2,0.086,2025-05-10,2,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,No Cyano 3,5.10.25 Replicate #2,0.095,2025-05-10,2,No Cyano,Regular HS + No Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 1,5.10.25 Replicate #2,0.446,2025-05-10,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 2,5.10.25 Replicate #2,0.529,2025-05-10,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Unfiltered Cyano 3,5.10.25 Replicate #2,0.794,2025-05-10,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,3.0,4.0
Regular HS,Filtered Cyano 1,5.10.25 Replicate #2,0.043,2025-05-10,2,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
Regular HS,Filtered Cyano 2,5.10.25 Replicate #2,0.083,2025-05-10,2,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
Regular HS,Filtered Cyano 3,5.10.25 Replicate #2,0.086,2025-05-10,2,Filtered Cyano,Regular HS + Filtered Cyano,3.0,4.0
No Glucose,No Cyano 1,5.10.25 Replicate #2,0.051,2025-05-10,2,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,No Cyano 2,5.10.25 Replicate #2,0.048,2025-05-10,2,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,No Cyano 3,5.10.25 Replicate #2,0.049,2025-05-10,2,No Cyano,No Glucose + No Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 1,5.10.25 Replicate #2,0.523,2025-05-10,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 2,5.10.25 Replicate #2,0.464,2025-05-10,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
No Glucose,Unfiltered Cyano 3,5.10.25 Replicate #2,0.305,2025-05-10,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,3.0,4.0
No Glucose,Filtered Cyano 1,5.10.25 Replicate #2,0.164,2025-05-10,2,Filtered Cyano,No Glucose + Filtered Cyano,3.0,4.0
No Glucose,Filtered Cyano 2,5.10.25 Replicate #2,0.177,2025-05-10,2,Filtered Cyano,No Glucose + Filtered Cyano,3.0,4.0
Regular HS,No Cyano 1,5.11.25 Replicate #1,0.109,2025-05-11,1,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,No Cyano 2,5.11.25 Replicate #1,0.089,2025-05-11,1,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,No Cyano 3,5.11.25 Replicate #1,0.084,2025-05-11,1,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 1,5.11.25 Replicate #1,0.266,2025-05-11,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 2,5.11.25 Replicate #1,0.222,2025-05-11,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 3,5.11.25 Replicate #1,0.583,2025-05-11,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Filtered Cyano 1,5.11.25 Replicate #1,0.045,2025-05-11,1,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
Regular HS,Filtered Cyano 2,5.11.25 Replicate #1,0.058,2025-05-11,1,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
Regular HS,Filtered Cyano 3,5.11.25 Replicate #1,0.045,2025-05-11,1,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
No Glucose,No Cyano 1,5.11.25 Replicate #1,0.053,2025-05-11,1,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,No Cyano 2,5.11.25 Replicate #1,0.053,2025-05-11,1,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,No Cyano 3,5.11.25 Replicate #1,0.053,2025-05-11,1,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 1,5.11.25 Replicate #1,0.331,2025-05-11,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 2,5.11.25 Replicate #1,0.338,2025-05-11,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 3,5.11.25 Replicate #1,0.202,2025-05-11,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Filtered Cyano 1,5.11.25 Replicate #1,0.108,2025-05-11,1,Filtered Cyano,No Glucose + Filtered Cyano,4.0,5.0
No Glucose,Filtered Cyano 2,5.11.25 Replicate #1,0.12,2025-05-11,1,Filtered Cyano,No Glucose + Filtered Cyano,4.0,5.0
Regular HS,No Cyano 1,5.11.25 Replicate #2,0.11,2025-05-11,2,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,No Cyano 2,5.11.25 Replicate #2,0.088,2025-05-11,2,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,No Cyano 3,5.11.25 Replicate #2,0.099,2025-05-11,2,No Cyano,Regular HS + No Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 1,5.11.25 Replicate #2,0.305,2025-05-11,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 2,5.11.25 Replicate #2,0.267,2025-05-11,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Unfiltered Cyano 3,5.11.25 Replicate #2,0.59,2025-05-11,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,4.0,5.0
Regular HS,Filtered Cyano 1,5.11.25 Replicate #2,0.046,2025-05-11,2,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
Regular HS,Filtered Cyano 2,5.11.25 Replicate #2,0.059,2025-05-11,2,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
Regular HS,Filtered Cyano 3,5.11.25 Replicate #2,0.044,2025-05-11,2,Filtered Cyano,Regular HS + Filtered Cyano,4.0,5.0
No Glucose,No Cyano 1,5.11.25 Replicate #2,0.055,2025-05-11,2,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,No Cyano 2,5.11.25 Replicate #2,0.05,2025-05-11,2,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,No Cyano 3,5.11.25 Replicate #2,0.055,2025-05-11,2,No Cyano,No Glucose + No Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 1,5.11.25 Replicate #2,0.373,2025-05-11,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 2,5.11.25 Replicate #2,0.344,2025-05-11,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Unfiltered Cyano 3,5.11.25 Replicate #2,0.202,2025-05-11,2,Unfiltered Cyano,No Glucose + Unfiltered Cyano,4.0,5.0
No Glucose,Filtered Cyano 1,5.11.25 Replicate #2,0.111,2025-05-11,2,Filtered Cyano,No Glucose + Filtered Cyano,4.0,5.0
No Glucose,Filtered Cyano 2,5.11.25 Replicate #2,0.123,2025-05-11,2,Filtered Cyano,No Glucose + Filtered Cyano,4.0,5.0
Regular HS,No Cyano 1,5.12.25 Replicate #1,0.195,2025-05-12,1,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,No Cyano 2,5.12.25 Replicate #1,0.136,2025-05-12,1,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,No Cyano 3,5.12.25 Replicate #1,0.125,2025-05-12,1,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 1,5.12.25 Replicate #1,0.295,2025-05-12,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 2,5.12.25 Replicate #1,0.311,2025-05-12,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 3,5.12.25 Replicate #1,0.472,2025-05-12,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Filtered Cyano 1,5.12.25 Replicate #1,0.043,2025-05-12,1,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
Regular HS,Filtered Cyano 2,5.12.25 Replicate #1,0.217,2025-05-12,1,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
Regular HS,Filtered Cyano 3,5.12.25 Replicate #1,0.196,2025-05-12,1,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
No Glucose,No Cyano 1,5.12.25 Replicate #1,0.055,2025-05-12,1,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,No Cyano 2,5.12.25 Replicate #1,0.053,2025-05-12,1,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,No Cyano 3,5.12.25 Replicate #1,0.052,2025-05-12,1,No Cyano,No Glucose + No Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 1,5.12.25 Replicate #1,0.29,2025-05-12,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 2,5.12.25 Replicate #1,0.297,2025-05-12,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Unfiltered Cyano 3,5.12.25 Replicate #1,0.189,2025-05-12,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,5.0,6.0
No Glucose,Filtered Cyano 1,5.12.25 Replicate #1,0.105,2025-05-12,1,Filtered Cyano,No Glucose + Filtered Cyano,5.0,6.0
No Glucose,Filtered Cyano 2,5.12.25 Replicate #1,0.1,2025-05-12,1,Filtered Cyano,No Glucose + Filtered Cyano,5.0,6.0
Regular HS,No Cyano 1,5.12.25 Replicate #2,0.196,2025-05-12,2,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,No Cyano 2,5.12.25 Replicate #2,0.144,2025-05-12,2,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,No Cyano 3,5.12.25 Replicate #2,0.13,2025-05-12,2,No Cyano,Regular HS + No Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 1,5.12.25 Replicate #2,0.372,2025-05-12,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 2,5.12.25 Replicate #2,0.336,2025-05-12,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Unfiltered Cyano 3,5.12.25 Replicate #2,0.464,2025-05-12,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,5.0,6.0
Regular HS,Filtered Cyano 1,5.12.25 Replicate #2,0.044,2025-05-12,2,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
Regular HS,Filtered Cyano 2,5.12.25 Replicate #2,0.236,2025-05-12,2,Filtered Cyano,Regular HS + Filtered Cyano,5.0,6.0
